date,vaccinazioni_totali,terza_dose,nuovi_vaccinati
2021-10-03,2213691000.0,,1927000.0
2021-10-04,2214564000.0,,1625571.0
2021-10-05,2215428000.0,,1339143.0
2021-10-06,2216382000.0,,1065857.0
2021-10-07,2217563000.0,,873000.0
2021-10-08,2218826000.0,,945714.0
2021-10-09,2220128000.0,,1023857.0
2021-10-10,2221245000.0,,1079143.0
2021-10-11,2222666000.0,,1157429.0
2021-10-12,2224081000.0,,1236143.0
2021-10-13,2225504000.0,,1303143.0
2021-10-14,2227334000.0,,1395857.0
2021-10-15,2229212000.0,,1483714.0
2021-10-16,2230567000.0,,1491286.0
2021-10-17,2232088000.0,,1549000.0
2021-10-18,2234096000.0,,1632857.0
2021-10-19,2236226000.0,,1735000.0
2021-10-20,2238325000.0,,1831571.0
2021-10-21,2240550000.0,,1888000.0
2021-10-22,2243018000.0,,1972286.0
2021-10-23,2244727000.0,,2022857.0
2021-10-24,2246217000.0,,2018429.0
2021-10-25,2248688000.0,,2084571.0
2021-10-26,2251339000.0,,2159000.0
2021-10-27,2254252000.0,,2275286.0
2021-10-28,2257584000.0,,2433429.0
2021-10-29,2262226000.0,,2744000.0
2021-10-30,2268362000.0,,3376429.0
2021-10-31,2274072000.0,,3979286.0
2021-11-01,2279422000.0,,4390571.0
2021-11-02,2285954000.0,,4945000.0
2021-11-03,2293820000.0,,5652571.0
2021-11-04,2302679000.0,,6442143.0
2021-11-05,2311626000.0,37973000.0,7057143.0
2021-11-06,2322102000.0,,7677143.0
2021-11-07,2330726000.0,,8093429.0
2021-11-08,2338493000.0,,8438714.0
2021-11-09,2346831000.0,,8696714.0
2021-11-10,2355525000.0,,8815000.0
2021-11-11,2364032000.0,,8764714.0
2021-11-12,2372713000.0,49440000.0,8726714.0
2021-11-13,2382133000.0,,8575857.0
2021-11-14,2389568000.0,,8406000.0
2021-11-15,2396045000.0,,8221714.0
2021-11-16,2402897000.0,,8009429.0
2021-11-17,2409784000.0,,7751286.0
2021-11-18,2416179000.0,,7449571.0
